Processes: 381 total, 3 running, 378 sleeping, 1640 threads 
2024/10/28 13:36:50
Load Avg: 2.34, 2.42, 2.33 
CPU usage: 11.73% user, 17.33% sys, 70.93% idle 
SharedLibs: 307M resident, 47M data, 18M linkedit.
MemRegions: 252970 total, 1806M resident, 81M private, 524M shared.
PhysMem: 8082M used (2128M wired), 108M unused.
VM: 27T vsize, 3099M framework vsize, 107178992(0) swapins, 109325453(0) swapouts.
Networks: packets: 79133800/100G in, 39644768/12G out.
Disks: 33642606/1167G read, 15164375/944G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
96245  plugin_host-3.8  0.0  00:01.19 4     1   35     43M   0B    39M   96235 96235 sleeping *0[1]       0.00000 0.00000    502 30311     1106    2166      1062      40422     3558       6514       5       13       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
96244  plugin_host-3.3  0.0  00:00.26 3     0   17     12M   0B    11M   96235 96235 sleeping *0[1]       0.00000 0.00000    502 6216      835     57        22        14256     1344       3138       14      0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
96237  crash_handler    0.0  00:00.02 4     1   33     3276K 0B    3160K 96236 1     sleeping *0[1]       0.00000 0.00000    502 2494      587     56        21        555       147        87         0       1        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
96235  sublime_text     0.0  00:53.39 18    1   547    134M  260K  46M   96235 1     sleeping *0[612]     0.00000 0.00000    502 266394    6418    504087    90964     397989    1148319    313793     710     14986    0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
96233  containermanager 0.0  00:00.04 2     1   29     916K  0B    416K  96233 1     sleeping *0[4]       0.00000 0.00000    89  2085      152     118       53        654       298        135        4       1        0.0   0      0      _spotlight             N/A    N/A   N/A   N/A   N/A   N/A  
96231  trustd           0.0  00:00.42 2     1   40     3064K 28K   1708K 96231 1     sleeping *0[104]     0.00000 0.00000    89  4359      156     319       183       6109      2096       1064       20      11       0.0   0      0      _spotlight             N/A    N/A   N/A   N/A   N/A   N/A  
96046  Opera Helper (Re 0.0  00:00.39 13    1   121    19M   0B    18M   1319  1319  sleeping *0[2]       0.00000 0.00000    502 32787     2490    1955      1299      4586      3854       2550       0       191      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
96044  Opera Helper (Re 0.0  00:36.07 14    1   218    89M   0B    68M   1319  1319  sleeping *0[4]       0.00000 0.00000    502 374672    9082    169119    65171     174547    359294     196619     139     7114     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
96035  Opera Helper (Re 0.0  02:05.54 14    1   355    300M  0B    61M   1319  1319  sleeping *0[3]       0.00000 0.00000    502 1073221   13852   348870    133657    431519    747282     462362     547     8935     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
95519  Terminal         0.0  00:28.51 13    7   448    51M   4872K 10M   95519 1     sleeping *0[448]     0.00000 0.00000    502 223724    957     205280    48406     267914    521092     190440     2804    2543     0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
95498  Opera Helper (Re 0.0  02:33.26 15    1   155    120M  0B    27M   1319  1319  sleeping *0[4]       0.00000 0.00000    502 564286    26367   504406    266202    733135    1167475    661368     1668    38877    0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
95497  Opera Helper (Re 0.0  00:00.58 13    1   122    20M   0B    19M   1319  1319  sleeping *0[2]       0.00000 0.00000    502 48722     2488    2924      2123      6280      5944       4671       0       176      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
95495  Opera Helper (Re 0.0  02:35.90 16    2   132    22M   0B    19M   1319  1319  sleeping *0[2]       0.00000 0.00000    502 21357     2498    1612426   806241    4061923   3225173    2544276    0       430138   0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
95494  Opera Helper (Re 0.0  00:03.99 15    1   244    46M   0B    35M   1319  1319  sleeping *0[2]       0.00000 0.00000    502 55856     3150    22218     12155     32555     44641      27192      154     337      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
95491  com.apple.WebKit 0.0  00:01.09 7     3/1 93     21M   6548K 1212K 95491 1     sleeping  0[539]     0.00000 0.00000    502 17536     457     7938      3705      12213     16111      6348       743     130      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
95452  netbiosd         0.0  00:00.09 3     2   23     940K  0B    924K  95452 1     sleeping *0[1]       0.00000 0.00000    222 2617      143     166       52        2170      314        895        6       59       0.0   0      0      _netbios               N/A    N/A   N/A   N/A   N/A   N/A  
94101  Opera Helper (Re 0.0  00:01.02 13    1   178    30M   0B    26M   1319  1319  sleeping *0[2]       0.00000 0.00000    502 36167     2511    4817      2479      8842      9764       7092       96      648      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
93728  nbagent          0.0  00:00.77 4     1   207    5340K 0B    3920K 93728 1     sleeping *0[238]     0.00000 0.00000    502 16775     341     7855      3439      15349     15324      11811      44      965      0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
